datetime,DXY open,DXY high,DXY low,DXY close
2024-01-04 18:00:00+00:00,102.406,102.438,102.38,102.43
2024-01-04 19:00:00+00:00,102.43,102.461,102.399,102.422
2024-01-04 20:00:00+00:00,102.422,102.447,102.399,102.401
2024-01-04 21:00:00+00:00,102.401,102.431,102.389,102.43
2024-01-04 22:00:00+00:00,102.43,102.43,102.392,102.409
2024-01-05 13:00:00+00:00,102.694,103.101,102.618,102.718
2024-01-05 14:00:00+00:00,102.719,102.719,102.376,102.434
2024-01-05 15:00:00+00:00,102.434,102.434,101.908,102.094
2024-01-05 16:00:00+00:00,102.094,102.311,102.071,102.298
2024-01-05 17:00:00+00:00,102.297,102.434,102.295,102.399
2024-01-05 18:00:00+00:00,102.399,102.498,102.317,102.333
2024-01-05 19:00:00+00:00,102.333,102.432,102.278,102.412
2024-01-05 20:00:00+00:00,102.411,102.488,102.4,102.462
2024-01-05 21:00:00+00:00,102.461,102.481,102.429,102.435
2024-01-08 13:00:00+00:00,102.416,102.45,102.328,102.392
2024-01-08 14:00:00+00:00,102.391,102.397,102.274,102.276
2024-01-08 15:00:00+00:00,102.274,102.312,102.126,102.176
2024-01-08 16:00:00+00:00,102.175,102.175,102.075,102.112
2024-01-08 17:00:00+00:00,102.112,102.203,102.078,102.194
2024-01-08 18:00:00+00:00,102.193,102.327,102.183,102.269
2024-01-08 19:00:00+00:00,102.269,102.288,102.194,102.209
2024-01-08 20:00:00+00:00,102.209,102.304,102.209,102.258
2024-01-08 21:00:00+00:00,102.258,102.297,102.242,102.291
2024-01-08 22:00:00+00:00,102.291,102.293,102.27,102.283
2024-01-09 13:00:00+00:00,102.37,102.443,102.322,102.326
2024-01-09 14:00:00+00:00,102.325,102.4,102.303,102.375
2024-01-09 15:00:00+00:00,102.375,102.592,102.363,102.591
2024-01-09 16:00:00+00:00,102.59,102.657,102.466,102.469
2024-01-09 17:00:00+00:00,102.468,102.516,102.452,102.489
2024-01-09 18:00:00+00:00,102.49,102.597,102.433,102.58
2024-01-09 19:00:00+00:00,102.579,102.616,102.541,102.57
2024-01-09 20:00:00+00:00,102.57,102.57,102.517,102.546
2024-01-09 21:00:00+00:00,102.546,102.548,102.512,102.512
2024-01-09 22:00:00+00:00,102.512,102.535,102.512,102.522
2024-01-10 13:00:00+00:00,102.496,102.521,102.424,102.52
2024-01-10 14:00:00+00:00,102.52,102.594,102.513,102.537
2024-01-10 15:00:00+00:00,102.537,102.578,102.354,102.376
2024-01-10 16:00:00+00:00,102.377,102.506,102.361,102.445
2024-01-10 17:00:00+00:00,102.444,102.449,102.38,102.382
2024-01-10 18:00:00+00:00,102.382,102.449,102.363,102.369
2024-01-10 19:00:00+00:00,102.368,102.39,102.358,102.362
2024-01-10 20:00:00+00:00,102.363,102.438,102.342,102.41
2024-01-10 21:00:00+00:00,102.411,102.415,102.355,102.356
2024-01-10 22:00:00+00:00,102.355,102.365,102.35,102.35
2024-01-11 13:00:00+00:00,102.212,102.67,102.162,102.669
2024-01-11 14:00:00+00:00,102.67,102.744,102.35,102.526
2024-01-11 15:00:00+00:00,102.525,102.764,102.458,102.623
2024-01-11 16:00:00+00:00,102.622,102.713,102.548,102.675
2024-01-11 17:00:00+00:00,102.672,102.677,102.569,102.597
2024-01-11 18:00:00+00:00,102.596,102.604,102.448,102.457
2024-01-11 19:00:00+00:00,102.456,102.456,102.277,102.291
2024-01-11 20:00:00+00:00,102.291,102.479,102.286,102.342
2024-01-11 21:00:00+00:00,102.343,102.351,102.304,102.321
2024-01-11 22:00:00+00:00,102.321,102.33,102.308,102.325
2024-01-12 13:00:00+00:00,102.567,102.587,102.26,102.356
2024-01-12 14:00:00+00:00,102.355,102.384,102.095,102.185
2024-01-12 15:00:00+00:00,102.185,102.314,102.087,102.289
2024-01-12 16:00:00+00:00,102.289,102.385,102.239,102.385
2024-01-12 17:00:00+00:00,102.386,102.485,102.385,102.456
2024-01-12 18:00:00+00:00,102.457,102.468,102.378,102.38
2024-01-12 19:00:00+00:00,102.382,102.419,102.339,102.404
2024-01-12 20:00:00+00:00,102.404,102.445,102.399,102.442
2024-01-12 21:00:00+00:00,102.44,102.458,102.419,102.439
2024-01-16 13:00:00+00:00,103.183,103.275,103.034,103.254
2024-01-16 14:00:00+00:00,103.253,103.33,103.12,103.287
2024-01-16 15:00:00+00:00,103.288,103.329,103.15,103.17
2024-01-16 16:00:00+00:00,103.17,103.377,103.106,103.248
2024-01-16 17:00:00+00:00,103.248,103.425,103.233,103.424
2024-01-16 18:00:00+00:00,103.424,103.424,103.309,103.381
2024-01-16 19:00:00+00:00,103.381,103.406,103.347,103.357
2024-01-16 20:00:00+00:00,103.356,103.387,103.339,103.371
2024-01-16 21:00:00+00:00,103.371,103.374,103.328,103.338
2024-01-16 22:00:00+00:00,103.338,103.351,103.314,103.317
2024-01-17 13:00:00+00:00,103.394,103.602,103.372,103.522
2024-01-17 14:00:00+00:00,103.522,103.671,103.485,103.665
2024-01-17 15:00:00+00:00,103.665,103.692,103.48,103.651
2024-01-17 16:00:00+00:00,103.651,103.653,103.521,103.58
2024-01-17 17:00:00+00:00,103.581,103.584,103.469,103.496
2024-01-17 18:00:00+00:00,103.495,103.589,103.493,103.512
2024-01-17 19:00:00+00:00,103.512,103.512,103.396,103.45
2024-01-17 20:00:00+00:00,103.45,103.476,103.378,103.384
2024-01-17 21:00:00+00:00,103.383,103.39,103.371,103.376
2024-01-17 22:00:00+00:00,103.375,103.389,103.365,103.381
2024-01-18 13:00:00+00:00,103.378,103.622,103.377,103.608
2024-01-18 14:00:00+00:00,103.608,103.615,103.446,103.511
2024-01-18 15:00:00+00:00,103.511,103.629,103.443,103.592
2024-01-18 16:00:00+00:00,103.591,103.607,103.441,103.515
2024-01-18 17:00:00+00:00,103.516,103.609,103.507,103.544
2024-01-18 18:00:00+00:00,103.545,103.588,103.48,103.496
2024-01-18 19:00:00+00:00,103.496,103.54,103.453,103.536
2024-01-18 20:00:00+00:00,103.535,103.541,103.456,103.458
